West Eifel Volc Field	50.16999817	6.849999905
SGL1	41.4068	13.7655	100.624	76.059891777066
SOR3	40.6293	14.3964	131.741	43.575724086245
SORR	40.6256	14.3744	119.482	41.898759130994
VAGA	41.4154	14.2343	784.815	81.288790871163
VEN3	40.7947	13.4216	112.578	40.680204778748
Panarea	38.63000107	15.06999969
ACQU	38.0561	14.5883	90.16	76.400958186202
BRO2	37.7889	14.8458	926.645	95.555453287566
BRON	37.7889	14.8458	926.562	95.555453287566
CAPO	38.1574	14.7396	62.539	59.922419571103
CELL	38.2603	15.8939	693.173	82.693487074752
GIOI	38.4217	15.8948	93.077	75.395612705843
JOPP	38.6068	15.8857	553.839	70.913795377393
LINA	38.5771	14.8351	156.159	21.242708049132
MECI	38.1765	15.5179	201.847	63.766451811743
MSRU	38.2638	15.5083	396.766	55.812345246406
MTTG	38.0031	15.6999	544.118	88.764516356118
PAT1	38.1432	14.9685	96.001	54.847946340942
SVI1	38.8028	15.2342	118.887	23.919455171444
TAOR	37.8527	15.2891	250.56	88.524600681712
TGRC	38.1083	15.651	138.747	77.011298624416
TRO2	38.6794	15.8967	100.066	71.995987090936
VIBO	38.6748	16.083	552.792	88.107025481109
VLSG	38.2244	15.6415	117.401	67.174587315499
VVAL	38.6748	16.083	552.894	88.107025481109
Lipari	38.47999954	14.94999981
ACQU	38.0561	14.5883	90.16	56.734851994488
BELP	37.5913	14.9774	609.387	98.848011484636
BRO2	37.7889	14.8458	926.645	77.385258305795
BRON	37.7889	14.8458	926.562	77.385258305795
CAPO	38.1574	14.7396	62.539	40.294891454574
CELL	38.2603	15.8939	693.173	85.837236301981
GALF	37.7107	14.5665	731.404	91.889418859048
GBLM	37.9903	14.0261	1036.4	97.347081107948
GIOI	38.4217	15.8948	93.077	82.52915303557
JOPP	38.6068	15.8857	553.839	82.589500148469
LINA	38.5771	14.8351	156.159	14.713052626385
MECI	38.1765	15.5179	201.847	59.940274911815
MSRU	38.2638	15.5083	396.766	54.284054408062
MTTG	38.0031	15.6999	544.118	84.267882466108
PAT1	38.1432	14.9685	96.001	37.485168459795
SVI1	38.8028	15.2342	118.887	43.561579947511
TAOR	37.8527	15.2891	250.56	75.790749055762
TGRC	38.1083	15.651	138.747	73.829252862328
TRO2	38.6794	15.8967	100.066	85.226743567354
VLSG	38.2244	15.6415	117.401	66.661193201883
Stromboli	38.78900146	15.2130003
ACQU	38.0561	14.5883	90.16	97.994651058374
AMA1	39.1198	16.0765	58.853	83.235146761026
CAPO	38.1574	14.7396	62.539	81.429220113205
CELL	38.2603	15.8939	693.173	83.454168225028
GIOI	38.4217	15.8948	93.077	71.958051719359
JOPP	38.6068	15.8857	553.839	61.79394326204
LAM5	38.9573	16.312	203.973	96.962129230806
LAME	38.8777	16.2345	54.48	89.02763561204
LAMZ	38.9364	16.3041	145.707	95.880347556973
LINA	38.5771	14.8351	156.159	40.387449873134
MECI	38.1765	15.5179	201.847	73.09506171118
MSRU	38.2638	15.5083	396.766	63.799665077435
MTTG	38.0031	15.6999	544.118	97.14475706698
PAT1	38.1432	14.9685	96.001	74.898418949607
SVI1	38.8028	15.2342	118.887	2.3936595416161
TGRC	38.1083	15.651	138.747	84.757769586365
TRO2	38.6794	15.8967	100.066	60.542162430582
VIBO	38.6748	16.083	552.792	76.525438408259
VLSG	38.2244	15.6415	117.401	73.017814312768
VVAL	38.6748	16.083	552.894	76.525438408259
Vulcano	38.40399933	14.96199989
ACQU	38.0561	14.5883	90.16	50.615884474336
BELP	37.5913	14.9774	609.387	90.378116802747
BOMA	37.931	15.9197	63.55	98.872827719395
BOVA	37.9355	15.9111	73.379	97.967877456194
BRO2	37.7889	14.8458	926.645	69.147632844887
BRON	37.7889	14.8458	926.562	69.147632844887
CAPO	38.1574	14.7396	62.539	33.596598219742
CELL	38.2603	15.8939	693.173	82.83972009286
EIIV	37.5136	15.0821	88.895	99.566180138431
GALF	37.7107	14.5665	731.404	84.511020184109
GBLM	37.9903	14.0261	1036.4	93.83389130316
GIOI	38.4217	15.8948	93.077	81.295785220494
JOPP	38.6068	15.8857	553.839	83.479277182982
LINA	38.5771	14.8351	156.159	22.191525763722
MECI	38.1765	15.5179	201.847	54.714933928643
MSRU	38.2638	15.5083	396.766	50.13485990312
MTTG	38.0031	15.6999	544.118	78.386280494033
PAT1	38.1432	14.9685	96.001	29.005113147705
SVI1	38.8028	15.2342	118.887	50.258527133439
TAOR	37.8527	15.2891	250.56	67.649674907323
TGRC	38.1083	15.651	138.747	68.559281928888
TRO2	38.6794	15.8967	100.066	86.868525678667
VLSG	38.2244	15.6415	117.401	62.55682855771
Etna	37.73400116	15.00399971
ACQU	38.0561	14.5883	90.16	51.120603054703
BELP	37.5913	14.9774	609.387	16.039464092242
BOMA	37.931	15.9197	63.55	83.348720892726
BOVA	37.9355	15.9111	73.379	82.75197442283
BRO2	37.7889	14.8458	926.645	15.187678556007
BRON	37.7889	14.8458	926.562	15.187678556007
CAL7	37.2283	14.522	572.072	70.504186538608
CALT	37.486	14.0416	653.607	89.146566458319
CAPO	38.1574	14.7396	62.539	52.478810911941
CELL	38.2603	15.8939	693.173	97.495069270613
CTG1	37.2199	14.512	558.046	71.783029052222
EDEN	37.5231	14.3035	732.308	65.996225127401
EIIV	37.5136	15.0821	88.895	25.454435321515
ENNA	37.5698	14.2743	989.509	66.784717032863
GALF	37.7107	14.5665	731.404	38.566730596722
GBLM	37.9903	14.0261	1036.4	90.45345545453
HMDC	36.959	14.7831	586.598	88.360779098872
LINA	38.5771	14.8351	156.159	94.904317276817
MECI	38.1765	15.5179	201.847	66.716432801882
MSRU	38.2638	15.5083	396.766	73.641773699227
MTTG	38.0031	15.6999	544.118	68.020571665502
NOT1	36.8758	14.9898	126.337	95.435878809152
NOTO	36.8761	14.9898	126.225	95.402523188086
PAT1	38.1432	14.9685	96.001	45.607212136097
RAFF	37.2226	14.3624	300.685	80.243340217183
RESU	37.6468	14.0568	782.482	83.907220854257
SIRC	37.076	15.282	90.447	77.176899068776
TAOR	37.8527	15.2891	250.56	28.315777935463
TGRC	38.1083	15.651	138.747	70.378115669791
VLSG	38.2244	15.6415	117.401	78.073683135402
Campi Flegrei Mar Sicilia	37.09999847	12.69999981
AGRG	37.3203	13.6012	297.354	83.483079518619
CAM9	37.6293	12.7449	146.083	58.989258481539
FVRA	37.3175	13.669	392.525	89.156908395598
PACE	37.9777	12.5621	97.317	98.350384871886
SAL0	37.8279	12.8056	385.493	81.473786861009
SCI1	37.5123	13.0798	126.237	56.835022864514
